
,model,accuracy,precision,recall,F1_score,G mean
0,BernoulliNB,0.45465761875385563,0.46394006691066875,0.4341167214280579,0.4056935613387765,0.42969894144144627
1,RandomForest,0.7409006785934609,0.7352359117237864,0.7310120133653074,0.7325168144434443,0.5946679043733433
2,DecisionTree,0.7131400370141888,0.7026926228589966,0.7040886980566233,0.7030611117568831,0.5656401726400747
3,Logistic Regression,0.40037014188772363,0.25161733483202203,0.33720526157920533,0.2094519576566196,0.5702312070641555
4,SVM,0.3985194324491055,0.49754205164652926,0.33553414424230016,0.19861188015810805,0.5814617696086006
5,"Stacking (SVM,RF)",0.39235040098704504,0.3557974228348817,0.34533267209191504,0.30267046757258637,0.446599349640537
6,"Stacking (SVM,RF,LogReg)",0.7686613201727329,0.7647071517428724,0.7562055063140029,0.7593807974993011,0.631410433722942
