,name,gender_predicted,accuracy
330,dustin,male,100
331,fidy,male,82
332,graeme,male,99
333,thomas,male,99
334,grannie,female,67
335,funkyguy,male,75
336,emily,female,98
337,karyn,female,97
338,thomas,male,99
339,joey,male,86
340,maria,female,97
341,tayyaba,female,94
342,ladyp,female,100
343,gift,female,100
344,starkey,male,64
345,goddess,female,95
346,thomas,male,99
347,mr,male,98
348,lanny,female,61
349,kho,male,73
350,thomas,male,99
351,joey,male,86
352,the,male,87
353,pepe,male,95
354,co,male,56
355,saint,male,92
356,kho,male,73
357,jules,male,86
358,thomas,male,99
359,jackson,male,98
360,kanuti,male,100
361,cozy,male,68
362,rock,male,100
363,cam,male,69
364,frans,male,98
365,thomas,male,99
366,thomas,male,99
367,craig,male,100
368,amit,male,99
369,thomas,male,99
370,moses,male,99
371,cae,male,73
372,ud,male,85
373,thomas,male,99
374,bighead,male,87
375,usmaan,male,100
376,shawn,male,93
377,mr,male,98
378,kelvin,male,99
379,smiley,male,51
380,marifer,female,98
381,faaf,male,91
382,wolfgang,male,99
383,khilen,male,100
384,parish,male,100
385,benny,male,94
386,dirk,male,99
387,nyc,male,74
388,robert,male,99
389,honeysuckle,female,100
390,dot,female,69
391,greer,female,78
392,ro,male,53
393,fletcher,male,99
394,the,male,87
395,cllr,male,75
396,adi,male,92
397,be,male,55
398,ronald,male,99
399,stuart,male,99
400,nyc,male,74
401,patryk,male,99
402,justin,male,98
403,oluwaremilekun,female,59
404,dr,male,91
405,oluwaremilekun,female,59
406,claire,female,98
407,cactus,male,59
408,john,male,99
409,parker,male,92
410,nyc,male,74
411,cristina,female,98
412,cactus,male,59
413,cactus,male,59
414,joey,male,86
415,mafia,male,88
416,barry,male,98
417,mr,male,98
418,zoom,male,86
419,rosallyn,female,75
420,day,female,52
421,fairfield,male,63
422,aleesha,female,98
423,spyder,male,94
424,avondhu,male,75
425,steve,male,99
426,brenda,female,98
427,stelina,female,98
428,tiago,male,99
429,kelsey,female,96
430,allu,male,85
