_id,username,name,followers_count,friends_count,favourites_count,statuses_count,after_name,gender,gender_accuracy
5ec97d8f45aa29c1ab606def,MrJaijo,Jai Taylor,276,848,1098,1428,jai,male,91
5ec97d9045aa29c1ab606df0,hsingh212_,BLACKLISTED,58,378,17538,3156,blacklisted,male,100
5ec97d9145aa29c1ab606df1,Cyrenians1968,Cyrenians,7573,4898,6405,10762
5ec97d9145aa29c1ab606df2,BirgittaDE2,BirgittaDE 🎗 🌹#ForeignFriendsOfCatalonia,311,301,65413,39125
5ec97d9245aa29c1ab606df3,cyclocrossjake,Jake ™,492,524,15166,4935,jake,male,98
5ec97d9345aa29c1ab606df4,Buzzfm897,Buzzfm89.7,1644,308,657,25909,andrew,male,99
5ec97d9345aa29c1ab606df5,AndrewMannUK,Andrew Mannering,68,164,3808,1841
5ec97d9445aa29c1ab606df6,BIGDADDYC0OL,Galang☭,283,1365,41640,18493,galang,male,97
5ec97d9445aa29c1ab606df7,Faris2011ksa,Faris2011ksa 🇸🇦,669,296,16432,13079
5ec97d9545aa29c1ab606df8,pankapitaa,Kor,1,83,1381,764,kor,male,88
5ec97d9645aa29c1ab606df9,legendarysauce2,LLCARAJ❤️,291,263,3665,11649
5ec97d9645aa29c1ab606dfa,matt_songwiqi,ANELE,1019,1778,112859,23622,anele,male,57
5ec97d9745aa29c1ab606dfb,joylis_,Zeè,720,517,9740,13019
5ec97d9745aa29c1ab606dfc,ardeaint,Ardea International,1430,4103,676,4347,ardea,female,71
5ec97d9845aa29c1ab606dfd,_superhero1,superhero1,811,142,709,706,superhero,male,98
5ec97d9945aa29c1ab606dfe,Mayor_Bowman,Mayor Brian Bowman,69791,5591,13864,28220,brian,male,99
5ec97d9a45aa29c1ab606dff,VanDykInsurance,Van Dyk Group Insurance,22,58,17,84,van,male,74
5ec97d9a45aa29c1ab606e00,CMP_4U,ᑕᗩᗰ ᗰOᗪEᒪ ᑭᖇOᗰOTEᖇ 🌈@CMP_4U🌈,322707,14134,165441,793050
5ec97d9b45aa29c1ab606e01,allhaleanna,Anna Hale,890,880,9931,25861,anna,female,98
5ec97d9c45aa29c1ab606e02,DILIPJHABIH,DILIP JHA,92,906,218,1048,dilip,male,99
5ec97d9c45aa29c1ab606e03,ben22476,Ben Kirkham,642,1284,10063,16981,ben,male,97
5ec97d9d45aa29c1ab606e04,EmTSuss,Emily Tisch Sussman,5618,1495,1971,6886,emily,female,98
5ec97d9d45aa29c1ab606e05,DomestikaEn,DomestikaEN,302,75,781,840
5ec97d9e45aa29c1ab606e06,nora_lafarga,Nora Lafarga,33,218,5992,1352,nora,female,97
5ec97d9f45aa29c1ab606e07,iosolofede,faith adams #NYG,831,1135,33172,17235,faith,female,100
5ec97d9f45aa29c1ab606e08,Tonobouy,Ghosty🙅🏾‍♂️🙅🏾‍♂️,224,177,774,24885,ghosty,male,78
5ec97da045aa29c1ab606e09,JohnMartini3,NYC Mind Expansion,4036,3317,12227,58994,nyc,male,74
5ec97da145aa29c1ab606e0a,happyeggshaped,Happiness is #staysafe,8709,6842,251012,150576,is,male,71
5ec97da245aa29c1ab606e0b,fladog82,mark flather,88,119,4160,1137,mark,male,100
5ec97da245aa29c1ab606e0c,kojo_jhase,Jhase_Feelz☆☆☆,666,1152,16638,14796
5ec97da345aa29c1ab606e0d,JustinKernoghan,Justin Kernoghan,1772,1314,2540,2554,justin,male,98
5ec97da445aa29c1ab606e0e,MGAdining,MGA Dining,163,53,41,1483,mga,male,84
5ec97da445aa29c1ab606e0f,BryanBarclay,Bryan Barclay,139,335,1060,194,bryan,male,99
5ec97da545aa29c1ab606e10,IntelRegion,Intel Region,968,23,8454,1368,intel,male,92
5ec97da645aa29c1ab606e11,sfdb,SFDB,1739,784,7943,102166,sfdb,male,75
5ec97da645aa29c1ab606e12,GGiggias,Gifts By Giggias,2,2,4,326,gift,female,100
5ec97da745aa29c1ab606e13,VamosTheatre,Vamos Theatre,3239,1683,2400,6122,vamos,male,88
5ec97da845aa29c1ab606e14,ChuiSansPapier,samohT 👑,109,108,17051,2952,samoht,male,95
5ec97da945aa29c1ab606e15,CrOwnSphMinX,♥️ #Maitreya #MysticalLaw 📿🙏🏽♥️✨,1407,5000,12942,28110,maitreya,male,82
5ec97daa45aa29c1ab606e16,BirgittaDE2,BirgittaDE 🎗 🌹#ForeignFriendsOfCatalonia,311,301,65413,39125
5ec97daa45aa29c1ab606e17,Mick__geek,Michael Nolan,1463,2882,26263,19419,michael,male,99
5ec97dac45aa29c1ab606e18,Buzzfm897,Buzzfm89.7,1644,308,657,25909
