len_word,len_emoji,len_hastag,extrointro,followers_count,friends_count,favourites_count,statuses_count
0,0,4,0,1662,308,660,26172
0,0,4,1,1662,308,660,26172
0,0,4,1,1662,308,660,26172
3,0,4,0,1662,308,660,26172
3,0,4,0,1662,308,660,26172
3,0,4,1,1662,308,660,26172
3,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,1,1662,308,660,26172
0,0,4,1,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,1,1662,308,660,26172
2,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,5,0,1662,308,660,26172
1,0,5,0,1662,308,660,26172
1,0,5,1,1662,308,660,26172
1,0,5,1,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,1,1662,308,660,26172
2,0,4,1,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,1,1662,308,660,26172
0,0,4,1,1662,308,660,26172
3,0,4,0,1662,308,660,26172
3,0,4,0,1662,308,660,26172
3,0,4,1,1662,308,660,26172
3,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,1,1662,308,660,26172
0,0,4,1,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,1,1662,308,660,26172
2,0,4,1,1662,308,660,26172
8,8,1,0,163,96,33,464
8,8,1,0,163,96,33,464
9,0,0,0,163,96,33,464
11,3,3,0,163,96,33,464
2,5,0,0,163,96,33,464
10,0,1,0,163,96,33,464
5,3,0,0,163,96,33,464
12,5,1,0,163,96,33,464
6,0,1,0,163,96,33,464
2,0,0,0,163,96,33,464
7,0,0,1,219,326,6694,41040
16,0,5,1,219,326,6694,41040
5,0,0,1,219,326,6694,41040
0,6,0,1,219,326,6694,41040
8,0,4,1,219,326,6694,41040
1,6,0,1,219,326,6694,41040
6,0,4,1,219,326,6694,41040
0,0,0,1,219,326,6694,41040
21,2,1,1,219,326,6694,41040
1,0,0,1,219,326,6694,41040
3,0,0,0,358,1040,23994,5979
5,2,1,0,358,1040,23994,5979
6,0,0,0,358,1040,23994,5979
4,0,1,0,358,1040,23994,5979
3,9,0,0,358,1040,23994,5979
1,0,0,0,358,1040,23994,5979
6,2,0,0,358,1040,23994,5979
2,0,0,0,358,1040,23994,5979
5,2,0,0,358,1040,23994,5979
22,4,1,0,358,1040,23994,5979
20,7,0,1,152144,1231,4849,5915
20,9,1,1,152144,1231,4849,5915
28,1,0,1,152144,1231,4849,5915
20,0,2,1,152144,1231,4849,5915
17,0,1,1,152144,1231,4849,5915
21,0,1,1,152144,1231,4849,5915
5,0,0,1,152144,1231,4849,5915
13,0,1,1,152144,1231,4849,5915
3,0,2,1,152144,1231,4849,5915
21,13,0,1,152144,1231,4849,5915
4,9,2,1,496,676,16,3411
12,2,3,1,496,676,16,3411
14,2,2,1,496,676,16,3411
7,9,2,1,496,676,16,3411
4,9,5,1,496,676,16,3411
19,7,3,1,496,676,16,3411
10,0,10,1,496,676,16,3411
11,0,8,1,496,676,16,3411
20,2,3,1,496,676,16,3411
7,0,3,1,496,676,16,3411
17,0,3,0,271,296,4628,11612
5,0,1,0,271,296,4628,11612
2,2,0,0,271,296,4628,11612
6,0,0,0,271,296,4628,11612
20,0,0,0,271,296,4628,11612
25,0,0,0,271,296,4628,11612
0,0,0,0,271,296,4628,11612
9,0,0,0,271,296,4628,11612
22,0,1,0,271,296,4628,11612
0,0,0,0,271,296,4628,11612
0,0,0,0,79,433,5683,10214
2,0,0,0,79,433,5683,10214
18,0,0,0,79,433,5683,10214
9,0,0,0,79,433,5683,10214
4,0,0,0,79,433,5683,10214
2,0,0,0,79,433,5683,10214
8,0,3,0,79,433,5683,10214
15,4,5,0,79,433,5683,10214
12,0,1,0,79,433,5683,10214
17,0,0,0,79,433,5683,10214
8,0,6,0,921,2277,7206,220824
22,2,0,0,921,2277,7206,220824
4,2,0,0,921,2277,7206,220824
16,12,1,0,921,2277,7206,220824
9,0,1,0,921,2277,7206,220824
20,0,0,0,921,2277,7206,220824
6,0,2,0,921,2277,7206,220824
9,0,1,0,921,2277,7206,220824
8,0,0,0,921,2277,7206,220824
29,1,2,0,921,2277,7206,220824
12,0,2,0,1150,1001,39683,163512
5,4,2,0,1150,1001,39683,163512
2,0,1,0,1150,1001,39683,163512
9,0,1,0,1150,1001,39683,163512
12,0,0,0,1150,1001,39683,163512
19,15,2,0,1150,1001,39683,163512
32,7,2,0,1150,1001,39683,163512
8,0,3,0,1150,1001,39683,163512
33,11,0,0,1150,1001,39683,163512
10,0,2,0,1150,1001,39683,163512
9,0,0,1,7384,5932,209473,51106
4,0,0,1,7384,5932,209473,51106
6,0,0,1,7384,5932,209473,51106
9,0,0,1,7384,5932,209473,51106
4,0,0,1,7384,5932,209473,51106
11,0,0,1,7384,5932,209473,51106
10,0,0,1,7384,5932,209473,51106
2,1,0,1,7384,5932,209473,51106
0,0,0,1,7384,5932,209473,51106
19,0,3,1,7384,5932,209473,51106
16,5,4,1,6320,496,2820,1334
0,9,0,1,6320,496,2820,1334
1,0,0,1,6320,496,2820,1334
0,12,0,1,6320,496,2820,1334
8,7,0,1,6320,496,2820,1334
5,7,0,1,6320,496,2820,1334
7,7,0,1,6320,496,2820,1334
14,13,5,1,6320,496,2820,1334
16,4,7,1,6320,496,2820,1334
19,0,2,1,6320,496,2820,1334
14,0,2,0,79,199,430,194
27,0,0,0,79,199,430,194
16,0,0,0,79,199,430,194
7,0,0,0,79,199,430,194
4,0,0,0,79,199,430,194
8,0,0,0,79,199,430,194
10,0,1,0,79,199,430,194
18,3,0,0,79,199,430,194
8,0,0,0,79,199,430,194
21,0,0,0,79,199,430,194
24,0,1,1,14586,835,2188,26165
21,0,2,1,14586,835,2188,26165
27,0,1,1,14586,835,2188,26165
18,0,0,1,14586,835,2188,26165
15,0,0,1,14586,835,2188,26165
22,0,0,1,14586,835,2188,26165
20,0,2,1,14586,835,2188,26165
16,0,1,1,14586,835,2188,26165
16,0,0,1,14586,835,2188,26165
20,0,0,1,14586,835,2188,26165
0,0,0,1,322,678,24453,9610
12,0,0,1,322,678,24453,9610
12,0,0,1,322,678,24453,9610
11,0,0,1,322,678,24453,9610
16,0,0,1,322,678,24453,9610
0,0,1,1,322,678,24453,9610
18,0,1,1,322,678,24453,9610
2,0,0,1,322,678,24453,9610
0,0,1,1,322,678,24453,9610
0,0,0,1,322,678,24453,9610
21,0,1,1,4402,677,1012,6778
18,3,6,1,4402,677,1012,6778
24,0,3,1,4402,677,1012,6778
23,0,0,1,4402,677,1012,6778
11,1,6,1,4402,677,1012,6778
12,0,6,1,4402,677,1012,6778
7,0,8,1,4402,677,1012,6778
7,0,6,1,4402,677,1012,6778
2,0,0,1,4402,677,1012,6778
5,0,0,1,4402,677,1012,6778
20,0,0,1,84,109,256,13873
16,0,0,1,84,109,256,13873
26,0,0,1,84,109,256,13873
22,0,0,1,84,109,256,13873
4,0,0,1,84,109,256,13873
7,0,0,1,84,109,256,13873
23,0,0,1,84,109,256,13873
0,2,0,1,84,109,256,13873
24,0,0,1,84,109,256,13873
6,0,0,1,84,109,256,13873
3,2,0,0,327,467,26587,49746
3,0,0,0,327,467,26587,49746
17,0,0,0,327,467,26587,49746
6,7,0,0,327,467,26587,49746
6,1,0,0,327,467,26587,49746
0,0,0,0,327,467,26587,49746
17,0,0,0,327,467,26587,49746
5,0,0,0,327,467,26587,49746
2,5,1,0,327,467,26587,49746
2,6,0,0,327,467,26587,49746
4,0,0,1,626,192,13317,91407
2,0,0,1,626,192,13317,91407
26,0,0,1,626,192,13317,91407
1,0,0,1,626,192,13317,91407
7,0,0,1,626,192,13317,91407
13,1,1,1,626,192,13317,91407
14,2,0,1,626,192,13317,91407
12,0,0,1,626,192,13317,91407
0,0,0,1,626,192,13317,91407
3,2,0,1,626,192,13317,91407
11,8,0,1,21,100,18,25142
11,8,0,1,21,100,18,25142
11,8,0,1,21,100,18,25142
11,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
14,8,0,1,21,100,18,25142
14,8,0,1,21,100,18,25142
14,8,0,1,21,100,18,25142
14,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
8,8,0,1,21,100,18,25142
8,8,0,1,21,100,18,25142
8,8,0,1,21,100,18,25142
8,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
11,8,0,1,21,100,18,25142
11,8,0,1,21,100,18,25142
11,8,0,1,21,100,18,25142
11,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
14,8,0,1,21,100,18,25142
14,8,0,1,21,100,18,25142
14,8,0,1,21,100,18,25142
14,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
8,8,0,1,21,100,18,25142
8,8,0,1,21,100,18,25142
8,8,0,1,21,100,18,25142
8,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,8,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
9,2,0,1,21,100,18,25142
6,0,0,1,440,381,814,2713
10,4,2,1,440,381,814,2713
12,0,0,1,440,381,814,2713
8,2,1,1,440,381,814,2713
7,0,7,1,440,381,814,2713
13,5,1,1,440,381,814,2713
13,0,0,1,440,381,814,2713
18,0,1,1,440,381,814,2713
8,10,1,1,440,381,814,2713
8,7,8,1,440,381,814,2713
19,0,0,1,101,642,142,1796
6,0,0,1,101,642,142,1796
0,0,0,1,101,642,142,1796
15,0,0,1,101,642,142,1796
9,0,0,1,101,642,142,1796
0,2,0,1,101,642,142,1796
2,0,0,1,101,642,142,1796
9,0,0,1,101,642,142,1796
10,0,0,1,101,642,142,1796
1,0,0,1,101,642,142,1796
12,0,9,0,22098,22096,29835,239219
13,0,2,0,22098,22096,29835,239219
8,0,6,0,22098,22096,29835,239219
5,0,0,0,22098,22096,29835,239219
19,0,0,0,22098,22096,29835,239219
13,0,0,0,22098,22096,29835,239219
3,6,2,0,22098,22096,29835,239219
10,0,18,0,22098,22096,29835,239219
20,0,2,0,22098,22096,29835,239219
13,2,5,0,22098,22096,29835,239219
5,0,0,1,275,848,1099,1428
5,0,0,1,275,848,1099,1428
2,3,2,1,275,848,1099,1428
3,0,0,1,275,848,1099,1428
7,0,0,1,275,848,1099,1428
15,14,2,1,275,848,1099,1428
1,0,0,1,275,848,1099,1428
6,0,0,1,275,848,1099,1428
0,0,0,1,275,848,1099,1428
5,3,2,1,275,848,1099,1428
5,0,0,1,58,378,17573,3187
4,0,0,1,58,378,17573,3187
2,0,0,1,58,378,17573,3187
5,0,0,1,58,378,17573,3187
6,0,0,1,58,378,17573,3187
3,0,0,1,58,378,17573,3187
3,0,0,1,58,378,17573,3187
5,0,0,1,58,378,17573,3187
2,7,0,1,58,378,17573,3187
5,0,0,1,58,378,17573,3187
15,4,4,1,7584,4898,6427,10780
0,2,0,1,7584,4898,6427,10780
10,0,1,1,7584,4898,6427,10780
13,1,2,1,7584,4898,6427,10780
19,6,0,1,7584,4898,6427,10780
10,4,2,1,7584,4898,6427,10780
7,0,2,1,7584,4898,6427,10780
16,0,1,1,7584,4898,6427,10780
5,4,0,1,7584,4898,6427,10780
18,4,0,1,7584,4898,6427,10780
4,0,0,1,310,302,66075,39386
18,0,0,1,310,302,66075,39386
29,0,1,1,310,302,66075,39386
24,1,0,1,310,302,66075,39386
12,0,3,1,310,302,66075,39386
11,0,1,1,310,302,66075,39386
16,0,0,1,310,302,66075,39386
0,0,0,1,310,302,66075,39386
9,0,1,1,310,302,66075,39386
31,0,0,1,310,302,66075,39386
4,0,0,1,310,302,66075,39386
18,0,0,1,310,302,66075,39386
29,0,1,1,310,302,66075,39386
24,1,0,1,310,302,66075,39386
12,0,3,1,310,302,66075,39386
11,0,1,1,310,302,66075,39386
16,0,0,1,310,302,66075,39386
0,0,0,1,310,302,66075,39386
9,0,1,1,310,302,66075,39386
31,0,0,1,310,302,66075,39386
3,2,0,0,491,525,15209,4940
4,0,0,0,491,525,15209,4940
3,0,0,0,491,525,15209,4940
8,0,2,0,491,525,15209,4940
5,3,2,0,491,525,15209,4940
3,0,0,0,491,525,15209,4940
8,1,2,0,491,525,15209,4940
5,2,0,0,491,525,15209,4940
5,5,0,0,491,525,15209,4940
8,0,4,0,491,525,15209,4940
7,0,3,1,74,164,4090,1992
19,0,0,1,74,164,4090,1992
28,0,0,1,74,164,4090,1992
10,0,1,1,74,164,4090,1992
6,0,0,1,74,164,4090,1992
2,0,1,1,74,164,4090,1992
6,0,0,1,74,164,4090,1992
0,0,0,1,74,164,4090,1992
14,0,2,1,74,164,4090,1992
7,0,0,1,74,164,4090,1992
4,0,0,1,277,1372,42748,18959
8,2,0,1,277,1372,42748,18959
12,0,0,1,277,1372,42748,18959
4,2,0,1,277,1372,42748,18959
0,0,0,1,277,1372,42748,18959
5,0,1,1,277,1372,42748,18959
2,0,0,1,277,1372,42748,18959
1,0,0,1,277,1372,42748,18959
2,0,1,1,277,1372,42748,18959
12,0,0,1,277,1372,42748,18959
2,2,0,1,669,294,16484,13133
1,0,0,1,669,294,16484,13133
2,1,0,1,669,294,16484,13133
1,0,0,1,669,294,16484,13133
3,0,0,1,669,294,16484,13133
4,0,0,1,669,294,16484,13133
25,0,0,1,669,294,16484,13133
1,2,1,1,669,294,16484,13133
0,2,0,1,669,294,16484,13133
0,5,0,1,669,294,16484,13133
6,0,2,0,1,83,1381,764
1,0,0,0,1,83,1381,764
24,4,2,0,1,83,1381,764
9,0,1,0,1,83,1381,764
15,0,1,0,1,83,1381,764
20,0,0,0,1,83,1381,764
12,0,0,0,1,83,1381,764
5,0,0,0,1,83,1381,764
8,0,0,0,1,83,1381,764
31,0,0,0,1,83,1381,764
12,0,0,1,294,257,3693,11705
16,0,0,1,294,257,3693,11705
16,5,0,1,294,257,3693,11705
5,0,0,1,294,257,3693,11705
7,0,0,1,294,257,3693,11705
9,0,0,1,294,257,3693,11705
3,0,0,1,294,257,3693,11705
5,5,0,1,294,257,3693,11705
8,0,0,1,294,257,3693,11705
