len_emotion,len_word,len_emoji,len_hastag,extrointro
4,8,0,0,0
3,29,1,2,0
3,12,0,2,0
1,5,4,2,0
0,2,0,1,0
1,9,0,1,0
2,12,0,0,0
2,19,15,2,0
4,32,7,2,0
2,8,0,3,0
8,33,11,0,0
5,10,0,2,0
4,9,0,0,1
1,4,0,0,1
1,6,0,0,1
1,9,0,0,1
1,4,0,0,1
2,11,0,0,1
3,10,0,0,1
0,2,1,0,1
1,19,0,3,1
0,16,5,4,1
0,1,0,0,1
2,8,7,0,1
1,5,7,0,1
2,7,7,0,1
7,14,13,5,1
5,16,4,7,1
5,19,0,2,1
3,14,0,2,0
11,27,0,0,0
3,16,0,0,0
2,7,0,0,0
1,4,0,0,0
2,8,0,0,0
0,10,0,1,0
4,18,3,0,0
2,8,0,0,0
3,21,0,0,0
8,24,0,1,1
9,21,0,2,1
4,27,0,1,1
6,18,0,0,1
3,15,0,0,1
2,22,0,0,1
7,20,0,2,1
5,16,0,1,1
4,16,0,0,1
9,20,0,0,1
2,12,0,0,1
2,12,0,0,1
3,11,0,0,1
8,16,0,0,1
5,18,0,1,1
2,2,0,0,1
6,21,0,1,1
6,18,3,6,1
4,24,0,3,1
11,23,0,0,1
2,11,1,6,1
2,12,0,6,1
0,7,0,8,1
3,7,0,6,1
0,2,0,0,1
1,5,0,0,1
9,20,0,0,1
8,16,0,0,1
7,26,0,0,1
7,22,0,0,1
0,4,0,0,1
4,7,0,0,1
11,23,0,0,1
7,24,0,0,1
0,6,0,0,1
2,3,2,0,0
3,3,0,0,0
2,17,0,0,0
2,6,7,0,0
1,6,1,0,0
2,17,0,0,0
1,5,0,0,0
1,2,5,1,0
0,2,6,0,0
3,4,0,0,1
0,2,0,0,1
6,26,0,0,1
0,1,0,0,1
2,7,0,0,1
3,13,1,1,1
3,14,2,0,1
3,12,0,0,1
0,3,2,0,1
5,11,8,0,1
5,11,8,0,1
2,9,2,0,1
2,9,2,0,1
8,14,8,0,1
8,14,8,0,1
2,9,2,0,1
2,9,2,0,1
3,8,8,0,1
3,8,8,0,1
2,9,2,0,1
2,9,2,0,1
2,9,8,0,1
2,9,8,0,1
2,9,2,0,1
2,9,2,0,1
2,9,8,0,1
2,9,8,0,1
2,9,2,0,1
2,9,2,0,1
1,6,0,0,1
4,10,4,2,1
3,12,0,0,1
3,8,2,1,1
3,7,0,7,1
4,13,5,1,1
1,13,0,0,1
6,18,0,1,1
3,8,10,1,1
3,8,7,8,1
5,19,0,0,1
1,6,0,0,1
6,15,0,0,1
0,9,0,0,1
1,2,0,0,1
3,9,0,0,1
3,10,0,0,1
1,1,0,0,1
7,12,0,9,0
7,13,0,2,0
3,8,0,6,0
1,5,0,0,0
3,19,0,0,0
4,13,0,0,0
1,3,6,2,0
2,10,0,18,0
13,20,0,2,0
6,13,2,5,0
0,5,0,0,1
0,5,0,0,1
1,2,3,2,1
0,3,0,0,1
2,7,0,0,1
4,15,14,2,1
0,1,0,0,1
1,6,0,0,1
2,5,3,2,1
0,5,0,0,1
1,4,0,0,1
0,2,0,0,1
2,5,0,0,1
0,6,0,0,1
0,3,0,0,1
1,3,0,0,1
1,5,0,0,1
1,2,7,0,1
2,5,0,0,1
3,15,4,4,1
2,10,0,1,1
6,13,1,2,1
2,19,6,0,1
3,10,4,2,1
3,7,0,2,1
3,16,0,1,1
2,5,4,0,1
4,18,4,0,1
2,4,0,0,1
9,18,0,0,1
2,29,0,1,1
4,24,1,0,1
5,12,0,3,1
1,11,0,1,1
4,16,0,0,1
4,9,0,1,1
4,31,0,0,1
2,3,2,0,0
0,4,0,0,0
0,3,0,0,0
2,8,0,2,0
1,5,3,2,0
3,3,0,0,0
0,8,1,2,0
1,5,2,0,0
2,5,5,0,0
0,8,0,4,0
1,1,0,4,0
1,1,0,4,1
1,1,0,4,0
1,1,0,4,1
0,1,0,5,0
0,1,0,5,1
1,2,0,4,0
1,2,0,4,1
0,3,0,4,0
0,3,0,4,1
0,1,0,4,0
0,1,0,4,1
0,1,0,4,0
0,1,0,4,1
1,2,0,4,0
1,2,0,4,1
3,7,0,3,1
6,19,0,0,1
5,28,0,0,1
1,10,0,1,1
3,6,0,0,1
0,2,0,1,1
1,6,0,0,1
4,14,0,2,1
1,7,0,0,1
2,4,0,0,1
2,8,2,0,1
3,12,0,0,1
1,4,2,0,1
1,5,0,1,1
0,2,0,0,1
0,1,0,0,1
1,2,0,1,1
4,12,0,0,1
1,2,2,0,1
0,1,0,0,1
1,2,1,0,1
0,1,0,0,1
0,3,0,0,1
2,4,0,0,1
3,25,0,0,1
0,1,2,1,1
1,6,0,2,0
0,1,0,0,0
11,24,4,2,0
1,9,0,1,0
2,15,0,1,0
7,20,0,0,0
2,12,0,0,0
1,5,0,0,0
1,8,0,0,0
9,31,0,0,0
