_id,username,word,emoji,hastag,len_word,len_emoji,len_hastag,len_emotion
5ed04ac7682cbc70de4c5269,CrOwnSphMinX,"use, light, shield, ryan",0,['#RockTheDivine'],4,0,1,1
5ed04ac7682cbc70de4c526a,CrOwnSphMinX,"look, like, ryan",0,"['#Angels', '#RockTheDivine']",3,0,2,1
5ed04ac7682cbc70de4c526b,CrOwnSphMinX,"name, ryan","suit, heart","['#SpiritGuides', '#RockTheDivine', '#Angel', '#Angels', '#Psychic', '#Intuitive', '#Sensitive', '#Empathic', '#Clairvoyance', '#Clairaudience', '#Clairsentience', '#Claircognizance', '#DivineLight', '#Synchronicity', '#GuardianAngel', '#AngelNumbers', '#GuardianAngels']",2,2,17,0
5ed04ac7682cbc70de4c526c,CrOwnSphMinX,"tune, energy, peace, love, available, every, moment, wait, take, awareness, external, look, within, cultivate, within, peace, begin, manifest, around","star, heart, sparkles, sparkling, glowing",0,19,5,0,7
5ed04ac7682cbc70de4c526d,CrOwnSphMinX,"self, love, essential, become, increasingly, important, individually, collectively, navigate, challenge, time, self, love, really, let, explore, dive, way, step, self, love",0,0,21,0,0,8
5ed04ac7682cbc70de4c526e,CrOwnSphMinX,"call, team, spirit, uplift, inspire, connect, help, see, feel, know, presence, help, see, high, best, next, step, align, peace, openness, bliss, may, service, high, level, life",0,0,26,0,0,11
5ed04ac8682cbc70de4c5270,BirgittaDE2,"people, get, mad, pandemic",0,0,4,0,0,2
5ed04ac8682cbc70de4c5271,BirgittaDE2,"enable, croatian, authority, therefore, culpable, late, round, vicious, abuse, unlawful, pushbacks, utter, scandal, shameful, abandonment, everything, claim, stand",0,0,18,0,0,9
5ed04ac8682cbc70de4c5272,BirgittaDE2,"air, resume, principal, pros, centre, del, pla, avi, study, ultra, petite, propose, pressupost, revisit, comic, per, culture, educate, juventus, norm, really, sin, que, sitka, per, sofa, propose, del, dramatic",0,['#NextGenerationEU'],29,0,1,2
5ed04ac8682cbc70de4c5273,BirgittaDE2,"historia, dun, crit, vol, ser, homenatge, total, gent, que, sha, manifesto, abreu, per, defensor, libertas, deal, press, politics, firm, seu, blow, pot, tribal, cobra",airplane,0,24,1,0,4
5ed04ac8682cbc70de4c5274,BirgittaDE2,"refuse, free, pardon, amnesty, purposely, ignore, elephant, room, political, imprisonment, fill, parliament",0,"['#Spain', '#Spanish', '#StandUpForCatalonia']",12,0,3,5
5ed04ac8682cbc70de4c5275,BirgittaDE2,"dossier, dimissioni, false, accuse, sophia, guerra, tra, bolivia, spinola, governor, article",0,['#StandUpForCatalonia'],11,0,1,1
5ed04ac8682cbc70de4c5276,BirgittaDE2,"nissan, closure, impact, gdp, affect, company, lead, job, loss, accord, time, represent, small, medium, size, enterprise",0,0,16,0,0,4
5ed04ac8682cbc70de4c5278,BirgittaDE2,"coronavirus, poverty, one, three, homeless, people, barcelona, homeless, epidemic",0,['#Covid19'],9,0,1,4
5ed04ac8682cbc70de4c5279,BirgittaDE2,"avi, nissan, annunciata, que, tanya, sea, produce, catalonia, una, most, mala, notice, que, post, manifest, que, treballadors, catalans, necessity, estate, que, defense, hem, present, una, pregunta, urgent, relaxant, que, actu, rpidament",0,0,31,0,0,4
5ed04aca682cbc70de4c527b,Mick__geek,monday,0,0,1,0,0,0
5ed04aca682cbc70de4c527c,Mick__geek,"remember, spanish, government, public, consultancy, open, hydrogen, roadmap, ireland",0,0,9,0,0,2
5ed04aca682cbc70de4c527d,Mick__geek,"fantastic, opportunity, join, prof, mike, zaworotkos, team, work",0,"['#CrystalEngineering', '#GreatPlaceTo']",8,0,2,2
5ed04aca682cbc70de4c527e,Mick__geek,"obviously, despite, get, way",0,0,4,0,0,0
